id,energy_system_id,year,month,month_number,baseline_model_id,baseline_code,metric_name,percentage_difference,trend_status,notes
1,1,2024,1,1,1,LBEN_CEEA,percentage_difference,4.9999,stable,Mes 01 / LBEN_CEEA
2,1,2024,2,2,1,LBEN_CEEA,percentage_difference,12.0,medium,Mes 02 / LBEN_CEEA
3,1,2024,3,3,1,LBEN_CEEA,percentage_difference,18.0,medium,Mes 03 / LBEN_CEEA
4,1,2024,4,4,1,LBEN_CEEA,percentage_difference,7.0,stable,Mes 04 / LBEN_CEEA
5,1,2024,5,5,1,LBEN_CEEA,percentage_difference,3.0,stable,Mes 05 / LBEN_CEEA
6,1,2024,6,6,1,LBEN_CEEA,percentage_difference,22.0,high,Mes 06 / LBEN_CEEA
7,1,2024,7,7,1,LBEN_CEEA,percentage_difference,-4.0,stable,Mes 07 / LBEN_CEEA
8,1,2024,8,8,1,LBEN_CEEA,percentage_difference,15.0,medium,Mes 08 / LBEN_CEEA
9,1,2024,9,9,1,LBEN_CEEA,percentage_difference,9.0,stable,Mes 09 / LBEN_CEEA
10,1,2024,10,10,1,LBEN_CEEA,percentage_difference,11.0,medium,Mes 10 / LBEN_CEEA
11,1,2024,11,11,1,LBEN_CEEA,percentage_difference,24.0,high,Mes 11 / LBEN_CEEA
12,1,2024,12,12,1,LBEN_CEEA,percentage_difference,-2.0,stable,Mes 12 / LBEN_CEEA
13,1,2024,1,1,2,LBEN_CEAM,percentage_difference,4.0,stable,Mes 01 / LBEN_CEAM
14,1,2024,2,2,2,LBEN_CEAM,percentage_difference,9.0,stable,Mes 02 / LBEN_CEAM
15,1,2024,3,3,2,LBEN_CEAM,percentage_difference,14.0,medium,Mes 03 / LBEN_CEAM
16,1,2024,4,4,2,LBEN_CEAM,percentage_difference,6.0,stable,Mes 04 / LBEN_CEAM
17,1,2024,5,5,2,LBEN_CEAM,percentage_difference,2.0,stable,Mes 05 / LBEN_CEAM
18,1,2024,6,6,2,LBEN_CEAM,percentage_difference,18.0,medium,Mes 06 / LBEN_CEAM
19,1,2024,7,7,2,LBEN_CEAM,percentage_difference,-3.0,stable,Mes 07 / LBEN_CEAM
20,1,2024,8,8,2,LBEN_CEAM,percentage_difference,21.0,high,Mes 08 / LBEN_CEAM
21,1,2024,9,9,2,LBEN_CEAM,percentage_difference,8.0,stable,Mes 09 / LBEN_CEAM
22,1,2024,10,10,2,LBEN_CEAM,percentage_difference,10.0,stable,Mes 10 / LBEN_CEAM
23,1,2024,11,11,2,LBEN_CEAM,percentage_difference,23.0,high,Mes 11 / LBEN_CEAM
24,1,2024,12,12,2,LBEN_CEAM,percentage_difference,-1.0,stable,Mes 12 / LBEN_CEAM
25,1,2024,1,1,3,LBEN_CALDERA_GLP,percentage_difference,3.0,stable,Mes 01 / LBEN_CALDERA_GLP
26,1,2024,2,2,3,LBEN_CALDERA_GLP,percentage_difference,11.0,medium,Mes 02 / LBEN_CALDERA_GLP
27,1,2024,3,3,3,LBEN_CALDERA_GLP,percentage_difference,17.0,medium,Mes 03 / LBEN_CALDERA_GLP
28,1,2024,4,4,3,LBEN_CALDERA_GLP,percentage_difference,5.0,stable,Mes 04 / LBEN_CALDERA_GLP
29,1,2024,5,5,3,LBEN_CALDERA_GLP,percentage_difference,4.0,stable,Mes 05 / LBEN_CALDERA_GLP
30,1,2024,6,6,3,LBEN_CALDERA_GLP,percentage_difference,19.0,medium,Mes 06 / LBEN_CALDERA_GLP
31,1,2024,7,7,3,LBEN_CALDERA_GLP,percentage_difference,-2.0,stable,Mes 07 / LBEN_CALDERA_GLP
32,1,2024,8,8,3,LBEN_CALDERA_GLP,percentage_difference,16.0,medium,Mes 08 / LBEN_CALDERA_GLP
33,1,2024,9,9,3,LBEN_CALDERA_GLP,percentage_difference,7.0,stable,Mes 09 / LBEN_CALDERA_GLP
34,1,2024,10,10,3,LBEN_CALDERA_GLP,percentage_difference,13.0,medium,Mes 10 / LBEN_CALDERA_GLP
35,1,2024,11,11,3,LBEN_CALDERA_GLP,percentage_difference,21.0,high,Mes 11 / LBEN_CALDERA_GLP
36,1,2024,12,12,3,LBEN_CALDERA_GLP,percentage_difference,-3.0,stable,Mes 12 / LBEN_CALDERA_GLP
37,1,2024,1,1,4,LBEN_GEN_GLP,percentage_difference,2.0,stable,Mes 01 / LBEN_GEN_GLP
38,1,2024,2,2,4,LBEN_GEN_GLP,percentage_difference,8.0,stable,Mes 02 / LBEN_GEN_GLP
39,1,2024,3,3,4,LBEN_GEN_GLP,percentage_difference,12.0,medium,Mes 03 / LBEN_GEN_GLP
40,1,2024,4,4,4,LBEN_GEN_GLP,percentage_difference,5.0,stable,Mes 04 / LBEN_GEN_GLP
41,1,2024,5,5,4,LBEN_GEN_GLP,percentage_difference,3.0,stable,Mes 05 / LBEN_GEN_GLP
42,1,2024,6,6,4,LBEN_GEN_GLP,percentage_difference,15.0,medium,Mes 06 / LBEN_GEN_GLP
43,1,2024,7,7,4,LBEN_GEN_GLP,percentage_difference,-1.0,stable,Mes 07 / LBEN_GEN_GLP
44,1,2024,8,8,4,LBEN_GEN_GLP,percentage_difference,18.0,medium,Mes 08 / LBEN_GEN_GLP
